name,symbol,cap,market
에스엔텍비엠,160600,716,kosdaq
켐온,217600,983,kosdaq
코아스템,166480,1529,kosdaq
세미콘라이트,214310,559,kosdaq
드림티엔터테인먼트,220110,71,konex
SK디앤디,210980,5735,kospi
미코바이오메드,214610,817,konex
씨앗,103660,77,konex
베셀,177350,456,kosdaq
넵튠,217270,1596,kosdaq
미래생명자원,218150,567,kosdaq
싸이맥스,160980,1018,kosdaq
러셀,217500,687,kosdaq
픽셀플러스,087600,406,kosdaq
디딤,217620,808,kosdaq
제노포커스,187420,1347,kosdaq
틸론,217880,179,konex
관악산업,076340,190,konex
우정바이오,215380,717,kosdaq
토박스코리아,215480,576,kosdaq
이노인스트루먼트,215790,744,kosdaq
우리산업,215360,1936,kosdaq
메가스터디교육,215200,4457,kosdaq
썬테크,217320,105,konex
원텍,216280,727,konex
유니맥스글로벌,215090,341,kosdaq
로보로보,215100,868,kosdaq
디알텍,214680,781,kosdaq
에이비프로바이오,195990,1741,kosdaq
골프존,215000,4437,kosdaq
클래시스,214150,9964,kosdaq
비엔디생활건강,215050,51,konex
엔에스쇼핑,138250,3521,kospi
퓨쳐스트림네트웍스,214270,1295,kosdaq
세화아이엠씨,145210,879,kospi
포시에스,189690,493,kosdaq
덕산네오룩스,213420,5354,kosdaq
한솔제지,213500,3570,kospi
디와이파워,210540,1081,kospi
국일신동,060480,710,kosdaq
듀켐바이오,176750,912,konex
바디텍메드,206640,2084,kosdaq
썸에이지,208640,600,kosdaq
와이제이엠게임즈,193250,824,kosdaq
화이브라더스코리아,204630,755,kosdaq
하이셈,200470,883,kosdaq
휴메딕스,200670,2313,kosdaq
래몽래인,200350,140,konex
바이오로그디바이스,208710,508,kosdaq
서전기전,189860,363,kosdaq
아스트,067390,2306,kosdaq
오킨스전자,080580,261,kosdaq
지란지교시큐리티,208350,498,kosdaq
NEW,160550,1119,kosdaq
아이티센,124500,840,kosdaq
삼성물산,028260,191587,kospi
소프트캠프,210610,371,konex
에듀파트너,208890,18,konex
녹십자엠에스,142280,707,kosdaq
디티앤씨,187220,853,kosdaq
셀바스헬스케어,208370,298,kosdaq
정다운,208140,549,kosdaq
하이로닉,149980,684,kosdaq
랩지노믹스,084650,555,kosdaq
빅텐츠,210120,112,konex
에이디테크놀로지,200710,1431,kosdaq
비씨월드제약,200780,1241,kosdaq
미스터블루,207760,1953,kosdaq
알테오젠,196170,6566,kosdaq
엔터메이트,206400,599,kosdaq
SKC코오롱PI,178920,1278,kosdaq
대창스틸,140520,542,kosdaq
피노텍,150440,495,konex
에프엔씨엔터,173940,1080,kosdaq
휴마시스,205470,416,kosdaq
씨에스윈드,112610,6569,kospi
텔콘RF제약,200230,7543,kosdaq
파티게임즈,194510,131,kosdaq
지엘팜텍,204840,519,kosdaq
글로벌텍스프리,204620,1257,kosdaq
디에이테크놀로지,196490,1044,kosdaq
삼성에스디에스,018260,153208,kospi
아이케이세미콘,149010,149,konex
액션스퀘어,205500,414,kosdaq
엑셈,205100,984,kosdaq
테고사이언스,191420,2090,kosdaq
슈피겐코리아,192440,3413,kosdaq
테라셈,182690,435,kosdaq
영우디에스피,143540,509,kosdaq
유니포인트,121060,89,konex
드림시큐리티,203650,1318,kosdaq
메디아나,041920,743,kosdaq
